,Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
23415,VEH,7SYEA3YB7SG023353,PAS,BROOKLYN,NY,11231,KINGS,2025.0,POLES,SUBN,ELECTRIC,5685.0,,,11/15/2024,04/29/2026,GY,N,N,N
24721,VEH,7SAYGDEF9SA337127,PAS,NEW YORK,NY,10044,NEW YORK,2025.0,TESLA,SUBN,ELECTRIC,4399.0,,,10/19/2024,10/18/2026,RD,N,N,N
24725,VEH,7SAYGDEF9RF045216,PAS,FRESH MEADOWS,NY,11365,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,04/10/2024,04/09/2026,GY,N,N,N
24745,VEH,7SAYGDEF9RF022096,PAS,STATEN ISLAND,NY,10306,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/27/2024,03/08/2026,WH,N,N,N
24748,VEH,7SAYGDEF9RF021109,PAS,BROOKLYN,NY,11207,KINGS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/09/2024,03/08/2026,GY,N,N,N
24751,VEH,7SAYGDEF9RA332830,PAS,WOODSIDE,NY,11377,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,11/16/2024,11/15/2026,GY,N,N,N
24755,VEH,7SAYGDEF9RA325263,PAS,FLUSHING,NY,11365,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,10/14/2024,10/13/2026,GY,N,N,N
24756,VEH,7SAYGDEF9RA323917,PAS,BROOKLYN,NY,11234,KINGS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,09/10/2024,09/09/2026,GY,N,N,N
24763,VEH,7SAYGDEF9RA318832,PAS,BAYSIDE,NY,11361,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,10/24/2024,10/23/2026,RD,N,N,N
24766,VEH,7SAYGDEF9RA317275,PAS,STATEN ISLAND,NY,10308,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/18/2024,05/17/2025,RD,N,N,N
24767,VEH,7SAYGDEF9RA313226,PAS,BAYSIDE,NY,11360,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/25/2024,01/04/2025,RD,N,N,N
24782,VEH,7SAYGDEF9RA295097,PAS,REGO PARK,NY,11374,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/20/2024,06/19/2026,GY,N,N,N
